Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,29.170000,29.840000,28.150000,28.450001,23.220388,30213000
2021-02-09,28.379999,28.750000,27.680000,27.709999,22.616413,23255400
2021-02-10,27.980000,28.290001,27.360001,28.049999,22.893915,14690800
2021-02-11,28.299999,28.670000,28.110001,28.309999,23.106121,19893800
2021-02-12,28.309999,28.590000,27.879999,28.500000,23.261196,10835200
2021-02-17,28.530001,29.700001,28.280001,29.680000,24.224291,16008200
2021-02-18,30.500000,30.950001,29.209999,29.430000,24.020247,26443000
2021-02-19,28.250000,28.469999,26.940001,27.100000,22.118540,66820000
2021-02-22,22.500000,22.770000,21.350000,21.549999,17.588728,132375800
2021-02-23,23.000000,23.770000,22.610001,23.480000,19.163961,135100700
2021-02-24,24.040001,24.410000,23.420000,23.780001,19.408815,59529900
2021-02-25,24.500000,24.820000,22.709999,22.940001,18.723223,58890700
2021-02-26,22.870001,23.070000,21.959999,22.150000,18.078438,47419800
2021-03-01,22.660000,22.900000,21.990000,22.010000,17.964172,40852500
2021-03-02,21.900000,22.230000,20.740000,21.910000,17.882555,52848600
2021-03-03,21.700001,21.889999,20.600000,20.969999,17.115345,55664000
2021-03-04,21.120001,22.129999,20.930000,21.870001,17.849907,47489800
2021-03-05,22.150000,22.799999,21.790001,22.059999,18.004982,43166600
2021-03-08,21.700001,21.990000,20.870001,21.000000,17.139828,40592700
2021-03-09,21.139999,21.900000,20.780001,21.389999,17.458139,33864000
2021-03-10,21.690001,22.290001,21.469999,22.290001,18.192705,33131800
2021-03-11,22.500000,23.150000,22.440001,22.950001,18.731384,39160900
2021-03-12,22.809999,23.080000,22.490000,22.700001,18.527340,19890600
2021-03-15,22.740000,23.260000,22.639999,23.260000,18.984400,17028300
2021-03-16,23.139999,23.219999,22.760000,22.910000,18.698738,15310200
2021-03-17,22.879999,23.760000,22.650000,23.639999,19.294550,25962600
2021-03-18,23.400000,23.520000,22.760000,22.969999,18.747707,26139300
2021-03-19,22.980000,23.620001,22.780001,23.520000,19.196609,37789800
2021-03-22,23.230000,23.309999,22.770000,23.080000,18.837486,18776800
2021-03-23,22.809999,23.250000,22.549999,22.549999,18.404913,15989200
2021-03-24,22.770000,23.320000,22.530001,22.530001,18.388588,22253300
2021-03-25,22.379999,23.120001,21.980000,22.959999,18.739548,23611500
2021-03-26,23.200001,23.780001,22.959999,23.299999,19.017048,21935500
2021-03-29,23.090000,23.660000,23.090000,23.650000,19.302711,16628800
2021-03-30,23.360001,23.820000,23.360001,23.580000,19.245579,15046700
2021-03-31,23.590000,24.120001,23.540001,23.940001,19.539406,16817600
2021-04-01,24.129999,24.180000,23.469999,23.620001,19.278229,17294200
2021-04-05,23.799999,23.950001,23.530001,23.870001,19.482273,13356000
2021-04-06,23.900000,24.139999,23.590000,23.690001,19.335361,15745800
2021-04-07,23.590000,24.059999,23.570000,23.799999,19.425140,22334400
2021-04-08,23.770000,23.809999,23.209999,23.400000,19.098665,21325900
2021-04-09,23.139999,23.620001,23.090000,23.500000,19.180285,21537900
2021-04-12,23.600000,24.230000,23.590000,23.740000,19.376169,13987300
2021-04-13,23.750000,23.940001,23.530001,23.740000,19.376169,17292200
2021-04-14,23.860001,24.430000,23.670000,24.120001,19.686319,26209700
2021-04-15,23.510000,23.610001,22.860001,22.920000,19.342703,15755200
2021-04-16,22.809999,23.129999,22.430000,22.650000,19.114843,38648600
2021-04-19,22.650000,24.290001,22.480000,23.790001,20.076916,53749800
2021-04-20,23.809999,24.010000,23.110001,23.200001,19.579000,32032000
2021-04-22,23.510000,23.540001,23.110001,23.209999,19.587439,17247700
2021-04-23,23.360001,23.410000,23.010000,23.270000,19.638075,16676900
2021-04-26,23.350000,23.580000,23.180000,23.299999,19.663391,11732500
2021-04-27,23.350000,23.639999,22.620001,22.740000,19.190796,22021900
2021-04-28,22.959999,23.620001,22.930000,23.549999,19.874372,19082500
2021-04-29,23.690001,23.900000,22.860001,23.080000,19.477728,18139100
2021-04-30,22.889999,23.410000,22.780001,23.100000,19.494608,27333100
2021-05-03,23.170000,23.260000,22.770000,23.010000,19.418655,15331500
2021-05-04,23.059999,23.260000,22.480000,22.480000,18.971375,15023900
2021-05-05,22.760000,23.570000,22.680000,23.400000,19.747784,21290700
2021-05-06,23.250000,23.440001,23.000000,23.070000,19.469290,12919700
2021-05-07,23.219999,23.930000,23.040001,23.930000,20.195065,21358800
2021-05-10,24.209999,24.459999,24.030001,24.230000,20.448238,21003500
2021-05-11,23.910000,24.600000,23.840000,24.549999,20.718294,18213400
2021-05-12,24.360001,24.870001,24.230000,24.240000,20.456678,18141800
2021-05-13,24.340000,24.580000,23.950001,24.500000,20.676100,15503000
2021-05-14,25.200001,25.730000,25.030001,25.639999,21.638170,21194500
2021-05-17,25.620001,25.940001,25.549999,25.940001,21.891348,11417200
2021-05-18,25.950001,26.049999,25.490000,25.600000,21.604414,14226100
2021-05-19,25.190001,25.590000,25.080000,25.520000,21.536900,13930700
2021-05-20,25.490000,25.580000,25.010000,25.170000,21.241528,12138100
2021-05-21,25.280001,25.530001,25.240000,25.420000,21.452507,17829100
2021-05-24,25.680000,25.750000,25.290001,25.680000,21.671928,14621400
2021-05-25,25.700001,25.820000,25.129999,25.219999,21.283724,19370700
